Trade Date,Maturity Date,Tenor,Face Value (GHS),Coupon Rate(%),AVG Price(%),Settlement Amount (GHS)
21/11/2011,25/07/2016,16s,40000000,14.25,0,0
22/11/2011,25/07/2016,16s,7475000,14.25,0,0
24/11/2011,14/01/2013,13s,1000000,19,0,0
25/11/2011,14/01/2013,13s,18000000,19,0,0
25/11/2011,25/07/2016,16s,10000000,14.25,0,0
25/11/2011,30/09/2013,13s,11400000,13.3,0,0
28/11/2011,30/09/2013,13s,4500000,13.3,0,0
29/11/2011,06/02/2014,14s,7940000,13,0,0
29/11/2011,14/01/2013,13s,7520000,19,0,0
29/11/2011,25/07/2016,16s,34850000,14.25,0,0
30/11/2011,25/07/2016,16s,38850000,14.25,0,0
05/12/2011,30/09/2013,13s,3000000,13.3,0,0
06/12/2011,30/09/2013,13s,5000000,13.3,0,0
07/12/2011,30/09/2013,13s,10000000,13.3,0,0
12/12/2011,30/09/2013,13s,2500000,13.3,0,0
13/12/2011,03/11/2013,13s,20000000,14.99,0,0
13/12/2011,30/09/2013,13s,15000000,13.3,0,0
14/12/2011,25/07/2016,16s,1000000,14.25,0,0
15/12/2011,06/11/2012,12s,1150000,13.67,0,0
19/12/2011,14/01/2013,13s,6000000,19,0,0
20/12/2011,14/01/2013,13s,6000000,19,0,0
21/12/2011,14/01/2013,13s,6000000,19,0,0
29/12/2011,12/10/2012,12s,1000000,15,0,0
04/01/2012,14/01/2013,13s,2000000,19,0,0
04/01/2012,12/10/2012,12s,500000,15,0,0
04/01/2012,25/07/2016,16s,90000,14.25,0,0
05/01/2012,14/01/2013,13s,2000000,19,0,0
06/01/2012,30/09/2013,13s,10000000,13.3,0,0
10/01/2012,03/11/2013,13s,4000000,14.99,0,0
10/01/2012,06/02/2014,14s,2500000,13,0,0
11/01/2012,06/03/2013,13s,5000000,15.65,0,0
11/01/2012,03/11/2013,13s,4000000,14.99,0,0
11/01/2012,12/10/2012,12s,38400,15,0,0
12/01/2012,03/11/2013,13s,17000000,14.99,0,0
13/01/2012,30/09/2013,13s,2500000,13.3,0,0
13/01/2012,12/10/2012,12s,6000,15,0,0
16/01/2012,06/11/2012,12s,20000000,13.67,0,0
16/01/2012,03/11/2013,13s,10000000,14.99,0,0
17/01/2012,12/10/2012,12s,26820,15,0,0
17/01/2012,25/07/2016,16s,8000000,14.25,0,0
17/01/2012,06/11/2012,12s,20000000,13.67,0,0
17/01/2012,30/09/2013,13s,5000000,13.3,0,0
17/01/2012,14/01/2013,13s,9000,19,0,0
