Date/tenure,19s,20s,21s,22s,23s,24s,ESLA 24,25s,26s,27s,ESLA 27,28s,29s,ESLA 29,ESLA 31,31s,32s,33s,34s,39s,Total volumes traded,,,,,,,,,,,,,,,,,,,,,,
27/08/2019,613119,9324121,17662199,4761718,2000000,2719803,1000000,13000000,7000000,,144967,1000000,0,0,0,,78000000,,2170918,,143846138,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,96014681,23197232,7726050,22000000,2000000,7000000,861238,12000000,13000000,,0,1000000,0,0,0,,0,,714799,,234889760,,,,,,,,,,,,,,,,,,,,,,
29/08/2019,9916939,17009936,28305245,1000000,16000000,9000000,4000000,28000000,15000000,,9000000,4000000,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
30/08/2019,57821462,16548372,19054341,17328,8000000,10000000,1000000,29000000,24000000,,3000000,33470,10000000,384378,0,,16000000,,0,,0,,,,,,,,,,,,,,,,,,,,,,
02/09/2019,11317391,8086644,19106226,2000000,14000000,10000000,0,327781,20000000,,250000,0,15000000,0,0,,14000000,,5751024,,96010236,,,,,,,,,,,,,,,,,,,,,,
03/09/2019,5046496,10962800,5461630,5397402,11000000,13294655,0,2000000,10000000,,250000,0,20000000,0,0,,6000000,,4638431,,228144957,,,,,,,,,,,,,,,,,,,,,,
04/09/2019,8023816,8345275,34030841,763016,2000000,5150484,846829,10000000,31760,,0,0,10001132,0,0,,0,,21157978,,154700743,,,,,,,,,,,,,,,,,,,,,,
05/09/2019,3113416,10433574,12123395,331637,304730,1150484,846829,5000000,4000000,,30000,0,27910456,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
06/09/2019,3031792,13552066,16000000,5000000,0,1062824,8000000,0,0,,104000,0,317910456,19275000,0,,3000000,,0,,0,,,,,,,,,,,,,,,,,,,,,,
09/09/2019,15075000,47006500,18294188,766602,920000,1314320,0,10020000,1380000,,2284629,0,137106691,2454468,0,,2000000,,0,,116343057,,,,,,,,,,,,,,,,,,,,,,
